,zoneid,wealth index,crime index
5818,09946-53035092500,0.51,0.04
5819,09946-53035092100,0.66,-0.33
5820,09946-53035090900,1.14,-0.27
5821,09946-53035091201,0.38,0.16
5822,09946-53035080900,-0.1,-0.09
5823,80985-42037051500,-0.3,-0.81
5824,80985-42097080900,-0.7,-0.82
5825,80985-42097081200,-1.11,2.58
5826,80985-42097082400,-0.56,-0.73
5827,80985-42097081800,-0.51,-0.75
5828,80985-42097080800,-0.07,-0.82
5829,68536-,-0.05,-0.66
5830,87139-18167000900,-0.99,1.06
5831,87139-18167001100,-1.3,1.98
5832,87139-18167000300,-1.4,1.59
5833,87139-18167011100,-1.49,2.03
5834,87139-18167001200,-1.2,1.49
5835,87139-18167001300,-1.08,0.26
5836,87139-18021040200,-0.73,0.12
5837,87139-18167001000,-0.74,0.54
5838,87139-18167001700,-1.06,1.96
5839,87139-18167001900,-1.34,1.41
5840,87139-18167010100,-0.34,-0.41
5841,87139-18167001400,-0.4,0.7
5842,87139-18167010300,-0.53,-0.41
5843,87139-18167010201,-0.44,-0.37
5844,87139-18167010702,-0.36,-0.59
5845,87139-18167011200,-0.71,-0.03
5846,87139-18021040100,-0.81,0.2
5847,87139-18167010400,-0.43,-0.29
5848,87139-18167010202,-0.44,-0.37
5849,87139-18167011000,-0.03,-0.56
5850,87139-18167001600,-0.04,-0.06
5851,87139-18021040400,-0.43,-0.5
5852,87139-18167010701,-0.05,-0.32
5853,87139-18167010500,-1.05,0.21
5854,87139-18021040300,-0.12,-0.57
5855,17155-,-0.68,-0.47
5856,69751-,-0.79,-0.75
5857,06814-,-1.12,-0.3
5858,00118-,-0.9,-0.2
5859,57520-,-0.54,-0.5
5860,54631-37111970100,-0.32,-0.39
5861,54631-37111970300,-0.75,1.02
5862,54631-37111970700,-0.76,-0.17
5863,54631-37111970600,-0.42,0.04
5864,54631-37111970200,-0.71,-0.13
5865,54631-37111970500,-0.81,0.64
5866,54631-37111970902,-0.68,-0.37
5867,54631-37111970400,-1.0,1.86
5868,65053-,-1.13,0.68
5869,41941-,-1.45,-0.49
5870,75637-27109002200,0.5,-0.76
5871,75637-27109001100,0.12,-0.11
5872,75637-27109001000,-0.27,0.39
5873,75637-27109001201,1.71,-0.24
5874,75637-27109001401,-0.47,0.14
5875,75637-27109000400,1.08,0.25
5876,75637-27109000902,-0.07,-0.36
5877,75637-27109001402,0.6,-0.48
5878,75637-27109001702,-0.31,0.72
5879,75637-27109000200,-0.67,0.75
5880,75637-27109001302,0.49,-0.4
5881,75637-27109000901,-0.15,-0.35
5882,75637-27109001703,1.02,-0.54
5883,75637-27109001603,1.52,-0.69
5884,75637-27109001701,-0.61,1.55
5885,75637-27109001602,1.03,-0.09
5886,75637-27109001301,0.32,0.0
5887,75637-27109001203,2.72,-0.77
5888,75637-27109001202,0.66,-0.26
5889,75637-27109000903,0.44,-0.73
5890,75637-27109002300,1.17,-0.53
5891,75637-27109000600,-0.63,0.77
5892,75637-27109001900,1.02,-0.81
5893,75637-27109001601,0.02,0.32
5894,38161-30049000600,0.44,-0.74
5895,38161-30049000502,0.25,-0.03
5896,38161-30049000400,0.03,-0.31
5897,38161-30049001100,0.13,0.41
5898,38161-30049000900,-0.33,3.72
5899,38161-30049001202,0.3,-0.72
5900,38161-30049000700,0.21,0.32
5901,38161-30043962201,0.78,-0.72
5902,38161-30049000501,-0.06,-0.58
5903,38161-30049001000,0.27,0.43
5904,38161-30049000800,-0.43,0.67
5905,38161-30049001201,-0.27,-0.2
5906,79687-,-0.5,-0.31
5907,51026-,-0.24,-0.73
5908,38794-,-1.04,0.08
5909,50730-,-0.12,-0.45
5910,43534-,-0.52,-0.75
5911,57079-,-0.52,0.24
5912,09801-22099020501,-0.84,0.73
5913,09801-22055001200,-0.84,0.97
5914,09801-22099020502,-0.72,1.41
5915,09801-22099020302,-0.9,-0.55
5916,09801-22099020200,-0.45,-0.53
5917,09801-22099020400,-0.67,-0.47
5918,09801-22099020301,-0.18,-0.29
5919,30748-29169470400,-0.47,-0.44
5920,30748-29169470390,-0.82,-0.73
5921,30748-29169470600,-0.66,-0.74
5922,30748-29169470389,-0.83,-0.32
5923,30748-29169470287,-0.57,0.66
5924,30748-29169470286,-0.66,-0.74
5925,03365-,0.16,-0.51
5926,64660-24047950600,0.49,-0.56
5927,64660-24047950400,0.44,-0.49
5928,64660-24047951700,0.68,-0.44
5929,64660-24047950800,0.71,-0.68
5930,64660-10005051305,0.22,-0.63
5931,64660-24047950900,-0.48,-0.38
5932,46531-22019980100,,0.79
5933,64660-24047951100,0.37,-0.6
5934,64660-10005051306,0.87,-0.61
5935,64660-24047951000,-0.48,-0.38
5936,64660-24047950700,0.43,-0.68
5937,84024-12101031804,-0.36,-0.48
5938,84024-12053041203,-0.65,-0.11
5939,84024-12053040905,-0.15,-0.45
5940,84024-12053040702,-0.24,-0.52
5941,84024-12053040802,-0.75,-0.33
5942,84024-12053040906,-0.48,-0.46
5943,84024-12101031806,-0.62,-0.32
5944,84024-12053040801,-0.87,-0.4
5945,84024-12053040910,-0.39,-0.54
5946,84024-12053041302,-0.77,-0.22
5947,84024-12101031808,-0.31,-0.47
5948,84024-12053040911,-0.29,-0.48
5949,84024-12053040501,-1.13,0.37
5950,84024-12053041204,-1.06,0.25
5951,84024-12053041401,-0.93,0.17
5952,84024-12053040909,-0.0,-0.59
5953,84024-12053040400,-0.99,0.38
5954,84024-12053041303,-0.03,-0.31
5955,84024-12101031805,-0.5,-0.38
5956,84024-12053040502,-1.07,0.11
5957,31150-12069031311,-0.55,-0.45
5958,31150-12097040801,-0.48,-0.33
5959,31150-12097040802,-0.3,-0.3
5960,31150-12097041100,-0.81,0.24
5961,31150-12105012502,-0.31,-0.45
5962,31150-12105012507,-0.42,-0.52
5963,31150-12105012411,-0.73,-0.51
5964,31150-12105012406,-0.21,-0.23
5965,31150-12105012404,-0.62,-0.43
5966,31150-12105012403,-0.41,-0.6
5967,31150-12105012506,-0.36,-0.38
5968,31150-12105012405,-0.3,-0.3
5969,14570-,-0.34,-0.5
5970,22864-,-0.67,-0.13
5971,51755-21111012601,-0.68,0.93
5972,51755-21111012410,-0.49,1.93
5973,51755-21111011518,1.04,-0.05
5974,51755-21111009103,-1.14,0.75
5975,51755-21111012107,-0.65,1.11
5976,51755-21111010319,0.18,0.69
5977,51755-21111011904,-0.93,1.6
5978,51755-21111011516,-0.25,1.28
5979,51755-21111010705,0.22,-0.4
5980,51755-21111010316,2.04,-0.44
5981,51755-21111000800,-1.06,3.56
5982,51755-21111010320,-0.17,0.37
5983,51755-21111011514,-0.26,1.07
5984,51755-21111011708,0.32,0.11
5985,51755-21111012106,-0.5,1.52
5986,51755-21111011707,-0.23,0.97
5987,51755-18043071006,-0.36,-0.13
5988,51755-21111012001,-0.67,0.03
5989,51755-21111011102,0.16,-0.17
5990,51755-21111011520,1.17,-0.35
5991,51755-18043070801,-1.18,1.0
5992,51755-21111010406,0.66,-0.38
5993,51755-21111012502,-0.86,2.5
5994,51755-21111012801,-1.01,2.18
5995,51755-21111012202,-0.82,1.37
5996,51755-21111010402,0.19,-0.22
5997,51755-21111012703,-0.54,0.56
5998,51755-21029020602,0.14,-0.75
5999,51755-21111012105,-0.51,1.87
6000,51755-18043071005,0.68,-0.69
6001,51755-18043071104,0.18,-0.67
6002,51755-21029020601,-0.51,-0.34
6003,51755-21029020201,0.11,-0.68
6004,51755-18043070301,-0.3,0.5
6005,51755-18043071007,-0.16,-0.26
6006,51755-21111012406,-0.65,2.0
6007,51755-21111011519,0.01,0.42
6008,51755-21111010307,1.81,-0.55
6009,51755-21185030501,0.08,-0.9
6010,51755-21111010312,1.75,-0.6
6011,51755-21185030801,2.95,-0.81
6012,51755-21029020101,-0.34,-0.6
6013,51755-18019050704,0.01,-0.48
6014,51755-21111012203,0.12,0.36
6015,51755-21111012503,-0.78,1.41
6016,51755-21111012407,-0.39,1.48
6017,51755-21111001200,-1.2,2.97
6018,51755-21111012002,-0.76,1.04
6019,51755-21111011506,-0.08,0.64
6020,51755-18019050504,-1.09,0.69
6021,51755-18043070600,0.02,-0.34
6022,51755-18043071103,0.65,-0.73
6023,51755-21111010311,-0.05,1.37
6024,51755-21111010706,0.51,0.18
6025,51755-21111012702,-0.92,0.63
6026,51755-21029020701,-0.4,-0.07
6027,51755-21111011517,0.06,0.13
6028,51755-21111000400,-1.11,3.57
6029,51755-21111010315,1.69,-0.27
6030,51755-21111007502,3.39,-0.6
6031,51755-21111012409,-0.81,1.57
6032,51755-21111012701,-1.06,1.48
6033,51755-21029020102,-0.39,-0.57
6034,51755-21185030301,-0.54,-0.34
6035,51755-21111011901,-1.58,0.96
6036,51755-18019050503,-0.83,4.67
6037,51755-21185030200,-0.93,-0.24
6038,51755-21111011713,-0.84,2.61
6039,51755-21111010309,1.13,0.07
6040,51755-21029020702,-0.41,-0.07
6041,51755-21111009106,-0.75,2.08
6042,51755-21029020300,0.21,-0.71
6043,51755-21185030502,0.92,-0.72
6044,51755-21185030401,0.6,-0.66
6045,51755-18019050501,-0.27,0.3
6046,51755-21111011603,0.59,-0.33
6047,51755-21111012411,-0.3,1.6
6048,51755-18043070802,-0.54,0.99
6049,51755-21111012103,-0.37,1.05
6050,51755-21111010313,2.59,-0.44
6051,51755-21029020400,-0.17,-0.73
6052,51755-21111012604,-0.78,1.2
6053,51755-18043070500,-1.08,1.64
6054,51755-21111011709,0.26,-0.31
6055,00676-,-0.04,-0.75
6056,11040-23023970301,0.21,-0.7
6057,11040-23023970600,-0.34,-0.25
6058,11040-23023970500,-0.51,-0.39
6059,11040-23005011300,0.78,-0.63
6060,11040-23005011201,0.19,-0.49
6061,11040-23023970302,0.15,-0.52
6062,11040-23005011202,-0.4,0.04
6063,11040-23023970400,0.24,-0.79
6064,11040-23023970700,0.29,-0.82
6065,11040-23005011100,-0.05,-0.38
6066,90122-,-0.57,-0.5
6067,39416-,0.34,-0.63
6068,23102-,-0.3,-0.48
6069,02773-39083007300,-0.34,-0.6
6070,02773-39083006802,-0.34,-0.75
6071,02773-39083006801,0.04,-0.82
6072,02773-39083006700,-0.75,-0.3
6073,83993-47147080604,0.18,-0.68
6074,83993-47147080605,-0.39,-0.68
6075,83993-47147080603,-0.11,-0.89
6076,83993-47147080200,-0.16,-0.68
6077,83993-47147080401,-0.71,0.04
6078,83993-47147080302,-0.8,0.37
6079,83993-47147080700,0.1,-0.64
6080,83993-47147080500,-0.12,-0.65
6081,79834-,-0.46,-0.64
6082,44738-,-0.37,-0.76
6083,15769-,0.06,-0.78
6084,30331-37161961101,-0.95,-0.47
6085,30331-37161961200,-0.69,-0.55
6086,30331-37161960900,-0.97,-0.26
6087,30331-37161960700,-0.62,0.22
6088,30331-37161960500,-0.43,-0.08
6089,30331-37161961000,-0.88,-0.53
6090,30331-37161960600,-1.12,-0.33
6091,30331-37161960800,-1.18,1.49
6092,30331-37161960400,-0.31,-0.51
6093,64135-09011705101,0.41,-0.54
6094,64135-09011702100,0.41,-0.66
6095,64135-09011696300,0.63,-0.54
6096,64135-09011693500,0.98,-0.71
6097,64135-09011690900,0.5,0.03
6098,64135-09011702700,-0.33,0.02
6099,64135-09011702600,0.71,-0.7
6100,64135-09011660102,1.46,-0.65
6101,64135-44009050902,0.69,-0.69
6102,64135-09011705300,1.45,-0.66
6103,64135-09011701200,0.52,-0.74
6104,64135-09011702900,2.33,-0.69
6105,64135-09011705102,-0.01,-0.44
6106,64135-44009050801,-0.42,0.34
6107,64135-09011870200,-0.53,-0.58
6108,64135-09011696600,0.09,-0.32
6109,64135-09011696100,-0.49,-0.31
6110,64135-09011696200,0.32,-0.57
6111,64135-44009050802,0.37,-0.48
6112,64135-09011703000,1.49,-0.54
6113,64135-09011697000,-0.64,-0.05
6114,64135-44009051000,1.48,-0.72
6115,64135-09011716101,0.2,-0.69
6116,64135-09011696700,-0.58,0.02
6117,64135-09011696400,-0.9,0.15
6118,64135-44009050901,0.39,-0.64
6119,64135-09011870703,0.75,-0.78
6120,64135-09011696500,-0.17,0.14
6121,64135-09011702500,-0.69,0.4
6122,64135-09011870704,0.83,-0.69
6123,64135-09011693300,0.57,-0.52
6124,64135-09011980000,,-0.45
6125,57223-13009970100,-0.54,-0.37
6126,57223-13009970400,-0.84,0.95
6127,57223-13009970600,-1.15,0.16
6128,57223-13009970701,-1.47,0.39
6129,57223-13009970702,-1.06,0.7
6130,57223-13009970200,-0.31,-0.05
6131,57223-13009970500,-1.3,0.16
6132,57223-13009970300,0.08,-0.22
6133,57223-13009970800,-1.03,-0.25
6134,57223-13237960300,-0.05,-0.37
6135,48799-12069030307,-0.83,0.04
6136,48799-12069030602,-1.1,3.05
6137,48799-12069030207,-0.15,-0.32
6138,48799-12069030208,-0.28,-0.13
6139,48799-12069030306,-0.65,-0.49
6140,48799-12069030203,0.28,-0.38
6141,48799-12069030504,-0.31,0.21
6142,48799-12069030406,-0.31,-0.32
6143,48799-12069030914,-0.38,2.03
6144,48799-12069030806,-0.68,-0.39
6145,48799-12069030913,0.66,0.26
6146,48799-12069030206,-1.17,0.47
6147,48799-12069030807,-0.53,-0.31
6148,48799-12069030503,-1.13,1.42
6149,48799-12069030405,-0.51,-0.1
6150,48799-12069030204,-0.83,0.49
6151,22096-09001230100,1.38,-0.88
6152,22096-09001210500,0.73,-0.56
6153,22096-09001245600,4.0,-0.87
6154,22096-09001200100,0.39,-0.58
6155,22096-09005253200,0.92,-0.77
6156,22096-09001200200,0.11,-0.45
6157,22096-09005253100,-0.17,-0.47
6158,22096-09001230300,1.74,-0.87
6159,22096-09001210800,1.02,-0.55
6160,22096-09005253300,0.45,-0.65
6161,22096-09001220200,1.5,-0.69
6162,22096-36079010100,0.32,-0.78
6163,22096-09001210600,-0.31,0.39
6164,22096-09001210200,-0.44,0.72
6165,22096-09001205200,1.51,-0.73
6166,22096-09001200302,1.33,-0.81
6167,22096-09005253600,0.55,-0.65
6168,22096-09001220100,1.09,-0.55
6169,22096-09001230200,1.71,-0.83
6170,22096-09001210900,1.14,-0.63
6171,88192-09005306100,1.05,-0.84
6172,88192-09005298400,1.46,-0.9
6173,88192-09005300500,0.55,-0.83
6174,88192-09005290100,0.83,-0.88
6175,88192-09005310400,0.13,-0.35
6176,88192-09005310602,0.19,-0.57
6177,88192-09005320100,-0.19,-0.66
6178,88192-09005310700,-0.07,-0.67
6179,88192-09005310803,-0.56,-0.41
6180,88192-09005320200,0.17,-0.72
6181,88192-09005310804,-0.11,-0.73
6182,88192-09005310100,-0.29,-0.15
6183,88192-09005310801,-0.51,-0.33
6184,88192-09005298300,0.72,-0.85
6185,88192-09005310601,0.24,-0.68
6186,88192-09005300400,0.82,-0.8
6187,91783-13021013502,-0.77,0.25
6188,91783-13021013504,-0.27,-0.06
6189,91783-13153020800,-0.64,2.46
6190,91783-13153020108,-0.75,-0.09
6191,91783-13153021107,-0.14,0.16
6192,91783-13153021201,0.34,-0.63
6193,91783-13153021103,0.42,-0.5
6194,91783-13153020900,-0.6,2.07
6195,91783-13079070201,-0.72,-0.47
6196,91783-13153021400,-0.36,-0.6
6197,91783-13153020600,-0.72,-0.67
6198,91783-13153020300,-1.35,1.94
6199,91783-13153021300,-0.64,-0.55
6200,91783-13153020109,-0.08,0.01
6201,91783-13153021104,-0.49,0.87
6202,91783-13225040101,0.11,-0.69
6203,91783-13225040102,-0.44,-0.28
6204,91783-13153020400,-1.4,4.4
6205,91783-13153021202,-0.42,-0.5
6206,91783-13153021000,-0.86,1.94
6207,91783-13153021500,-0.12,-0.64
6208,91783-13153021105,-0.49,1.69
6209,91783-13153020700,-1.18,2.31
6210,91783-13153020105,-0.72,1.41
6211,91783-13153020106,-0.05,-0.48
6212,91783-13153020200,-1.01,1.21
6213,91783-13153021113,0.34,-0.08
6214,91783-13153021108,0.1,-0.2
6215,08974-12071050307,2.83,-0.85
6216,08974-12021010510,0.33,-0.31
6217,08974-12021010601,-0.54,0.39
6218,08974-12071050500,-0.09,-0.39
6219,08974-12021010110,0.27,0.26
6220,08974-12021000301,3.22,-0.12
6221,08974-12021010602,-0.25,-0.21
6222,08974-12021010604,-0.52,0.11
6223,08974-12021010904,1.94,-0.68
6224,08974-12021010411,-0.53,0.69
6225,08974-12021010412,0.39,-0.56
6226,08974-12021000101,3.11,-0.1
6227,08974-12021010300,0.3,0.13
6228,08974-12021010106,1.71,-0.63
6229,08974-12021000302,3.16,-0.21
6230,08974-12021011201,2.32,-0.73
6231,08974-12021010701,-0.76,-0.1
6232,08974-12071050314,3.29,-0.81
6233,08974-12021010414,0.07,-0.56
6234,08974-12021000500,16.63,-0.72
6235,08974-12071050601,0.6,-0.37
6236,08974-12021011105,0.55,-0.64
6237,08974-12021010410,-0.61,2.18
6238,08974-12021010702,0.1,-0.5
6239,08974-12021010415,0.53,-0.46
6240,08974-12021010509,0.72,-0.63
6241,08974-12021010505,-0.38,-0.06
6242,08974-12021010105,1.25,-0.5
6243,08974-12021000200,0.95,0.54
6244,08974-12021010208,2.92,-0.7
6245,08974-12021010209,3.92,-0.7
6246,08974-12021010215,6.97,-0.86
6247,08974-12071050305,5.08,-0.74
6248,08974-12021010802,0.36,-0.3
6249,08974-12071050308,0.14,-0.55
6250,08974-12021010902,1.75,-0.71
6251,08974-12021011103,-0.81,-0.07
6252,08974-12071050310,1.43,-0.76
6253,08974-12021010801,-0.04,-0.21
6254,08974-12021010905,2.18,-0.67
6255,08974-12021000102,5.59,-0.14
6256,13510-12071010409,0.31,-0.6
6257,13510-12071050306,0.15,-0.66
6258,13510-12071040312,-0.8,-0.25
6259,13510-12071020300,-1.11,0.04
6260,13510-12071040120,-0.4,-0.33
6261,13510-12071050203,0.32,-0.63
6262,13510-12071040108,0.4,-0.48
6263,13510-12071020400,0.24,-0.55
6264,13510-12071010411,-0.29,0.04
6265,13510-12071050103,-0.09,-0.49
6266,13510-12071040311,-0.93,-0.08
6267,13510-12071050205,-0.13,-0.06
6268,13510-12071001914,0.38,-0.43
6269,13510-12071040313,-0.85,-0.06
6270,13510-12071040118,1.25,-0.77
6271,13510-12071040210,-0.76,-0.51
6272,13510-12071040207,-0.48,-0.51
6273,13510-12071020101,-0.38,-0.71
6274,13510-12071000401,-0.64,0.37
6275,13510-12071060102,1.48,-0.37
6276,13510-12071030202,-0.68,-0.04
6277,13510-12071010412,-0.31,-0.15
6278,13510-12071001906,-0.3,-0.22
6279,13510-12071001602,0.06,-0.65
6280,13510-12071010105,0.4,-0.67
6281,13510-12071001915,1.44,-0.59
6282,13510-12071040116,0.64,-0.6
6283,13510-12071040203,-0.65,-0.32
6284,13510-12071040117,0.94,-0.65
6285,13510-12071001912,0.05,-0.61
6286,13510-12071040310,-0.48,-0.29
6287,13510-12071050209,-0.39,0.02
6288,13510-12071040314,-0.74,-0.34
6289,13510-12071010801,0.42,-0.44
6290,13510-12071040304,-0.97,-0.03
6291,13510-12071010407,0.36,-0.35
6292,13510-12071020201,-0.09,-0.67
6293,13510-12071040124,-0.55,-0.07
6294,13510-12071010201,-0.42,-0.19
6295,13510-12071050105,0.96,-0.73
6296,13510-12071030201,1.58,-0.79
6297,13510-12071001907,0.91,-0.75
6298,13510-12071010102,-0.66,-0.57
6299,13510-12071010410,0.06,-0.59
6300,13510-12071040110,0.13,-0.17
6301,13510-12071040309,-0.73,-0.05
6302,13510-12071060101,-0.46,0.12
6303,13510-12071010404,-0.34,-0.26
6304,13510-12071040111,1.39,-0.78
6305,13510-12071010203,-0.41,-0.29
6306,13510-12071001705,-0.26,-0.34
6307,13510-12071050311,1.08,-0.76
6308,13510-12071040308,-0.8,-0.43
6309,13510-12071050106,0.34,-0.5
6310,13510-12071020102,-0.52,-0.28
6311,13510-12071000402,-0.67,-0.26
6312,13510-12071010802,-0.63,0.22
6313,13510-12071001911,0.93,-0.59
6314,13510-12071040305,-1.12,0.23
6315,13510-12071040112,0.57,-0.51
6316,13510-12071080202,2.5,-0.63
6317,13510-12071050207,1.21,-0.73
6318,13510-12071010103,-0.34,-0.42
6319,13510-12071010406,0.72,-0.64
6320,13510-12071040205,-0.74,-0.36
6321,13510-12071010204,-0.44,-0.44
6322,25255-,-0.59,-0.48
6323,09163-,-0.65,-0.27
6324,56602-12085001601,1.38,-0.64
6325,54307-,0.4,-0.07
6326,34273-08077000400,-0.75,1.57
6327,34273-08077001002,0.25,0.27
6328,34273-08077000602,-0.91,2.96
6329,34273-08077001001,0.13,0.9
6330,34273-08077001600,0.79,-0.47
6331,34273-08077001403,0.32,-0.26
6332,34273-08077001705,-0.64,0.05
6333,34273-08077000800,-0.28,-0.01
6334,34273-08077000601,-0.61,1.23
6335,34273-08077000700,-0.69,1.61
6336,34273-08077001302,0.13,-0.34
6337,34273-08077000900,-0.17,0.54
6338,34273-08077001702,-0.05,-0.57
6339,34273-08077001707,-0.42,0.14
6340,34273-08077001706,-0.96,0.54
6341,34273-08077001102,-0.1,-0.14
6342,34273-08077001703,-0.22,-0.21
6343,34273-08077001404,0.84,-0.55
6344,34273-08077001402,0.61,-0.61
6345,34273-08077001501,-0.49,-0.31
6346,34273-08077001200,0.79,-0.63
6347,34273-08077001301,-0.62,0.53
6348,34273-08077001101,-0.44,0.35
6349,04033-01081040603,-1.35,0.02
6350,04033-01081040902,-1.06,1.05
6351,04033-01081041400,-1.29,2.24
6352,04033-01081040200,-0.46,0.31
6353,04033-01081041700,-0.53,-0.16
6354,04033-01081040602,-0.08,-0.15
6355,04033-01081040700,-1.69,0.12
6356,04033-01081040901,-0.05,-0.28
6357,04033-01081040500,0.35,-0.51
6358,04033-01081041000,0.29,-0.48
6359,04033-01081041200,0.1,-0.21
6360,04033-01081042102,-0.42,-0.45
6361,04033-01081040604,-1.21,-0.02
6362,04033-01081040400,-0.12,0.36
6363,04033-01081041300,-0.34,1.14
6364,04033-01081041600,-0.92,1.3
6365,20962-,-0.61,-0.79
6366,58600-01101003000,-1.07,1.5
6367,58600-01001020400,-0.24,0.64
6368,58600-01101002300,-1.32,4.77
6369,58600-01101005302,-0.89,0.77
6370,58600-01101003100,-1.08,2.97
6371,58600-01101003200,-0.83,1.59
6372,58600-01101000900,-0.28,-0.5
6373,58600-01101002201,-1.23,4.89
6374,58600-01101005406,1.05,0.06
6375,58600-01101005605,0.04,1.34
6376,58600-01001020700,-0.93,0.5
6377,58600-01101006100,-1.09,0.89
6378,58600-01101002900,-1.03,2.6
6379,58600-01101005408,0.17,-0.18
6380,58600-01101005503,0.81,-0.45
6381,58600-01101002202,-1.12,2.94
6382,58600-01051030902,-0.66,-0.34
6383,58600-01101005902,-1.17,1.82
6384,58600-01101002400,-1.29,1.33
6385,58600-01101000300,-1.49,2.0
6386,58600-01001020100,-0.29,0.0
6387,58600-01001020600,-0.64,0.04
6388,58600-01101005609,-0.11,0.43
6389,58600-01001020300,-0.61,0.49
6390,58600-01051030901,-0.02,-0.25
6391,58600-01051031000,-0.68,0.48
6392,58600-01101005607,0.58,-0.31
6393,58600-01051031100,-0.36,0.28
6394,58600-01101001000,-1.55,1.03
6395,58600-01001020200,-0.9,1.11
6396,58600-01101002500,-0.97,2.42
6397,58600-01101005102,-1.02,2.36
6398,58600-01001020500,0.05,0.34
6399,45451-12097042602,-0.6,1.64
6400,45451-12097043500,-0.86,0.57
6401,45451-12097043204,-0.31,-0.38
6402,45451-12097042800,0.0,-0.23
6403,45451-12097040902,-0.74,0.08
6404,45451-12097041002,-0.42,-0.18
6405,45451-12097041001,-0.59,-0.18
6406,45451-12097040901,-0.5,-0.17
6407,45451-12097043400,-0.71,0.88
6408,45451-12097043302,-0.44,-0.46
6409,45451-12097041700,-1.02,0.32
6410,14023-13045910300,-0.75,-0.81
6411,14023-13045910501,-1.08,0.3
6412,14023-13045910701,-0.37,-0.17
6413,14023-13045911100,-0.24,0.01
6414,14023-13045910502,-1.3,2.57
6415,14023-13097080402,0.38,-0.59
6416,14023-13045911000,-0.27,-0.15
6417,14023-13045910702,-0.08,-0.51
6418,14023-13045910600,-0.34,-0.12
6419,14023-13045910703,-0.76,0.09
6420,17524-,-0.18,-0.58
6421,57439-42097080500,-0.35,-0.71
6422,57439-42119090700,-0.19,-0.72
6423,57439-42119090600,0.75,-0.77
6424,57439-42097080300,-0.65,-0.42
6425,57439-42119090102,-0.59,-0.69
6426,57439-42097080100,-0.24,-0.77
6427,57439-42119090400,-0.09,-0.9
6428,57439-42097080400,-0.42,-0.66
6429,57439-42097080200,-0.61,-0.59
6430,57439-42119090502,-0.19,-0.67
6431,57439-42119980501,,-0.47
6432,22528-39113100201,-0.74,1.49
6433,22528-39113090303,0.25,-0.39
6434,22528-39113040305,1.95,-0.83
6435,22528-39057200300,-0.63,-0.24
6436,22528-39113070201,-1.36,0.9
6437,22528-39113115011,-0.42,0.12
6438,22528-39113130102,-0.26,-0.72
6439,22528-39113070500,-0.77,0.39
6440,22528-39023003102,-0.43,-0.64
6441,22528-39113040303,0.82,-0.64
6442,22528-39057210402,0.38,0.11
6443,22528-39113050401,-0.17,-0.15
6444,22528-39113115012,0.16,-0.48
6445,22528-39113980000,,-0.19
6446,22528-39113040203,0.36,-0.32
6447,22528-39109365302,0.73,-0.69
6448,22528-39113070600,-0.74,0.14
6449,22528-39113100203,-0.48,0.96
6450,22528-39113100102,-0.07,0.02
6451,22528-39113120102,0.17,-0.65
6452,22528-39113080700,-1.02,0.03
6453,22528-39113120103,-0.45,-0.53
6454,22528-39023002902,-0.64,-0.64
6455,22528-39165030501,-0.2,-0.12
6456,22528-39057240301,-0.51,-0.06
6457,22528-39057200500,-1.03,0.44
6458,22528-39113040302,0.1,-0.4
6459,22528-39109355001,-0.05,-0.38
6460,22528-39109345000,-0.77,-0.64
6461,22528-39057240200,-0.94,0.17
6462,22528-39113110201,0.44,0.63
6463,22528-39113050103,0.13,0.1
6464,22528-39057210401,0.4,-0.06
6465,22528-39113050502,-0.09,-0.43
6466,22528-39113060300,-1.06,0.72
6467,22528-39109365301,-0.3,-0.25
6468,22528-39113120101,0.01,-0.78
6469,22528-39113021602,0.18,-0.37
6470,22528-39113060200,-1.34,0.33
6471,22528-39113004300,-1.47,2.95
6472,22528-39113050503,-0.34,-0.42
6473,22528-39057240302,-0.69,0.12
6474,22528-39113100101,-0.51,-0.11
6475,22528-39109365000,-0.21,-0.49
6476,22528-39113100301,-0.85,1.06
6477,22528-39113030200,-0.71,0.8
6478,22528-39023002901,-0.87,-0.49
6479,22528-39113040306,1.22,-0.75
6480,22528-39109365200,-0.89,-0.15
6481,22528-39113115002,-0.44,-0.4
6482,22528-39165030504,1.4,-0.81
6483,22528-39165030900,1.27,-0.84
6484,22528-39113070202,-1.34,2.14
6485,22528-39057210601,0.62,-0.16
6486,22528-39057210602,0.48,0.02
6487,22528-39113125101,0.03,-0.12
6488,22528-39023002702,-0.8,-0.53
6489,22528-39057210603,1.4,-0.76
6490,22528-39113021400,-0.36,-0.15
6491,22528-39057200103,-0.36,-0.14
6492,22528-39113090302,-0.78,-0.39
6493,22528-39057200600,-0.03,-0.17
6494,22528-39113090304,0.08,-0.27
6495,22528-39165030503,0.25,-0.79
6496,22528-39113070400,-0.98,0.41
6497,22528-39023003101,-0.38,-0.51
6498,22528-39113050504,0.03,-0.22
6499,22528-39113125102,-0.59,0.11
6500,22528-39113110100,0.34,-0.22
6501,22528-39113125000,-0.26,-0.74
6502,22528-39113100400,0.11,-0.28
6503,22528-39057240500,-0.21,-0.25
6504,22528-39057210500,1.48,-0.61
6505,22528-39113080200,-0.56,0.87
6506,22528-39057240100,-0.52,-0.14
6507,22528-39057220200,0.47,-0.57
6508,22528-39113070300,-1.31,0.59
6509,22528-39113040406,1.21,-0.76
6510,65539-41045970400,-1.06,1.53
6511,65539-16075960100,-0.59,-0.5
6512,65539-16075960200,-0.63,-0.35
