,zoneid,wealth index,crime index
166,40753-21019030900,-0.88,-0.46
167,16264-17089853004,-0.33,0.17
168,51755-18019050701,0.21,-0.49
169,16264-17093890400,0.43,-0.61
170,68509-17143003402,1.09,-0.55
171,75718-17201980000,,1.02
172,16264-18089043001,0.18,-0.65
173,76474-17097860810,0.45,-0.66
174,16264-17089850600,1.07,-0.83
175,44506-17097860101,-0.09,-0.26
176,97129-17111870902,0.36,-0.77
177,16264-17031830007,-0.75,0.09
178,16264-17097861507,-0.04,0.19
179,42562-55105001202,0.34,-0.59
180,46693-55127001702,-0.05,-0.79
181,57925-01097007101,-0.75,0.75
182,61273-47147080606,-0.43,-0.66
183,77770-17119403531,0.05,-0.66
184,73153-55101000600,-0.98,0.25
185,28333-18163010100,-0.4,0.37
186,83993-47147080402,-0.66,-0.13
187,28333-18163003804,-0.41,-0.18
188,96049-21049020600,-0.41,-0.49
189,87139-18167010600,-0.15,-0.32
190,77770-17119403402,-0.68,0.1
191,22717-17115002402,0.13,-0.52
192,22960-17037001001,-0.82,0.26
193,57466-55079000202,-0.21,0.17
194,17317-47125101201,-0.86,0.83
195,61273-47189030308,0.53,-0.13
196,61273-47165020902,-0.6,-0.24
197,22960-17037000800,-0.13,-0.12
198,28333-18163010201,0.96,-0.76
199,18991-47119011101,0.1,-0.23
200,57925-01097006402,-0.81,0.94
201,57925-01097006404,-0.41,0.37
202,57925-01097006801,0.37,-0.08
203,51755-21185030602,0.48,-0.58
204,51755-18019050703,-0.55,-0.41
205,13537-29031881500,-0.34,-0.28
206,13537-29031881200,0.02,-0.01
207,57925-01097006103,-0.88,0.12
208,41212-18059410800,0.34,-0.76
209,77770-29189213203,0.14,0.8
210,58600-01101000100,,2.18
211,62488-,-0.9,-0.2
212,48826-29095017900,-0.12,0.37
213,16453-39141956000,-0.32,0.77
214,61705-39089752800,-0.08,0.1
215,26794-18141011601,-0.0,-0.69
216,43912-29095011300,-0.6,0.94
217,48691-47189030800,-0.12,-0.58
218,68509-17179020302,-0.43,-0.28
219,39241-,-0.71,-0.29
220,81739-22017024303,-1.07,0.96
221,35920-28047003304,-0.27,0.99
222,81739-22017022100,-1.17,3.75
223,51755-18019050605,-0.35,-0.16
224,40213-05051011700,-0.38,1.81
225,80308-05145070800,-1.28,1.04
226,23824-26163594400,-0.34,-0.53
227,90487-28149950600,-0.57,-0.08
228,77743-29021000702,-0.7,1.53
229,19234-39049007395,-0.4,0.31
230,05707-26025001300,-0.79,0.45
231,40780-01089000501,-0.95,1.63
232,42211-28121021001,-0.5,-0.83
233,41590-19103010400,-0.12,-0.69
234,95077-20173005400,-0.82,0.83
235,46045-22055001410,0.05,-0.32
236,36514-22105954300,-1.27,4.29
237,88084-20177000700,-0.86,0.88
238,26794-18141011602,-0.29,-0.58
239,92593-19013003002,0.2,-0.81
240,95077-20173008000,-0.36,-0.15
241,90487-28149950500,-0.8,0.18
242,95077-20173009503,0.72,0.31
243,05680-22063040304,-0.4,-0.14
244,69697-42129803100,-0.48,-0.59
245,74665-21151010300,-0.66,0.26
246,58330-22073000500,-1.02,0.9
247,13321-28089030400,0.49,-0.82
248,58330-22073000600,-1.38,2.41
249,77743-29021000701,-0.32,0.7
250,35920-28047003205,-0.67,1.39
251,43507-20061000400,-0.51,0.08
252,06058-48245001301,-0.66,0.78
253,06058-48245011304,-0.29,-0.62
254,06058-48245001302,-0.49,0.01
255,06058-48245000308,-0.2,1.08
256,29775-08123002004,-0.15,-0.35
257,23824-26125131100,0.11,-0.77
258,95077-20173005600,-0.48,0.5
259,95077-20173007203,-0.39,1.79
260,95077-20173010109,0.25,1.72
261,95077-20173008400,-0.48,1.98
262,95077-20173006600,-0.64,-0.42
263,95077-20173010113,0.15,-0.56
264,95077-20173010801,-0.54,2.25
265,95077-20173007204,0.03,0.39
266,95077-20173009200,-0.32,0.68
267,95077-20173009513,-0.11,2.45
268,06058-48245000304,-0.53,1.09
269,06058-48245000302,0.9,-0.02
270,06058-48245000102,-0.61,0.85
271,43912-29047020901,-0.26,0.71
272,43912-20209043700,-0.62,0.55
273,65269-31055000500,-0.45,0.43
274,65269-19155030300,-0.69,3.07
275,65269-31055006503,-0.25,0.48
276,65269-31153010621,-0.03,0.07
277,65269-31055003100,-0.9,1.22
278,16264-17097864205,0.46,-0.75
279,34300-26081014807,0.41,-0.66
280,02602-26161412100,-0.81,0.23
281,42157-26075005700,-0.56,0.11
282,88732-04019003802,-1.1,2.31
283,88732-04019004022,-0.26,0.82
284,88732-04019002506,-0.95,0.81
285,88732-04019004113,,0.96
286,88732-04019004717,2.26,-0.43
287,88732-04019004632,0.62,-0.35
288,88732-04019004333,-0.41,0.01
289,88732-04019004718,0.93,-0.28
290,88732-04019004054,0.73,-0.48
291,88732-04019004029,-0.52,1.79
292,88732-04019004042,0.14,1.29
293,88732-04019004046,-0.27,1.62
294,88732-04019003705,-1.08,1.18
295,88732-04019004117,-1.16,0.74
296,88732-04019004636,0.69,-0.26
297,88732-04019004641,0.89,-0.59
298,88732-04019003903,-0.91,1.54
299,88732-04019002505,-0.9,2.98
300,88732-04019004404,-0.4,0.37
301,88732-04019004723,0.91,-0.02
302,88732-04019004647,-0.1,0.24
303,88732-04019004630,0.35,0.08
304,88732-04019003702,-1.32,3.87
305,88732-04019004635,1.0,-0.19
306,88732-04019004115,-1.33,1.25
307,88732-04019004058,-0.37,0.58
308,88732-04019004048,-0.26,1.26
309,88732-04019004646,0.11,0.14
310,88732-04019004645,-0.17,0.41
311,88732-04019004044,0.85,-0.35
312,88732-04019004426,-0.2,1.22
313,88732-04019004049,-0.27,0.68
