,zoneid,crimes per sq. mile,per capita income,pop. change,most similar RD stores,RD match index,similar store revenue,similar store noi,similar store bad debt
7518,52822-13021013410,10.13,"$52,312",0%,"RD005, RD020, RD086, RD012, RD006",91.2%,"$21,754","$11,739","-$1,344"
7519,52822-13021011000,45.78,"$26,220",0%,"RD131, RD173, RD138, RD077, RD183",91.8%,"$19,220","$10,478","-$1,435"
7520,52822-13207050302,1.08,"$42,857",0%,"RD020, RD053, RD005, RD174, RD178",94.2%,"$18,343","$9,894",-$977
7521,52822-13021013202,115.62,"$15,907",0%,"RD157, RD162, RD130, RD139, RD090",90.3%,"$19,228","$9,003","-$2,203"
7522,52822-13021013409,27.19,"$29,883",0%,"RD043, RD071, RD178, RD186, RD010",92.4%,"$23,722","$13,698","-$1,359"
7523,52822-13021013408,27.14,"$52,981",0%,"RD008, RD083, RD126, RD135, RD059",91.6%,"$17,536","$9,184","-$1,170"
7524,52822-13169030101,0.72,"$33,500",0%,"RD148, RD186, RD174, RD046, RD045",92.8%,"$25,261","$14,064",-$773
7525,52822-13169030103,0.99,"$31,564",0%,"RD133, RD188, RD129, RD005, RD113",92.2%,"$19,813","$10,594","-$1,184"
7526,52822-13021012300,161.25,"$13,795",0%,"RD139, RD157, RD112, RD033, RD034",89.3%,"$13,419","$5,916","-$2,087"
7527,52822-13021012102,54.11,"$28,537",0%,"RD017, RD104, RD106, RD043, RD182",92.8%,"$20,368","$11,479","-$1,398"
7528,52822-13021012000,51.98,"$30,751",0%,"RD081, RD113, RD001, RD104, RD106",93.0%,"$15,147","$8,502","-$1,047"
7529,52822-13021013503,12.93,"$24,545",0%,"RD081, RD049, RD104, RD106, RD131",93.2%,"$16,164","$9,159","-$1,204"
7530,52822-13021013700,218.07,"$19,303",0%,"RD162, RD033, RD034, RD139, RD108",87.9%,"$13,066","$5,860","-$1,872"
7531,52822-13169030104,6.38,"$22,808",0%,"RD064, RD187, RD132, RD106, RD104",92.7%,"$17,621","$9,188","-$1,325"
7532,52822-13021013407,60.88,"$26,513",0%,"RD172, RD017, RD106, RD104, RD182",94.1%,"$20,858","$11,578","-$1,348"
7533,52822-13021013504,16.56,"$30,186",0%,"RD113, RD106, RD104, RD001, RD127",94.0%,"$15,395","$8,437",-$996
7534,52822-13021013101,110.92,"$13,809",0%,"RD156, RD070, RD067, RD069, RD172",90.5%,"$20,615","$11,162","-$1,382"
7535,64216-,1.71,"$20,195",-0%,"RD064, RD101, RD017, RD077, RD132",92.9%,"$15,060","$7,557","-$1,147"
7536,09622-27035951301,10.41,"$31,144",0%,"RD155, RD113, RD045, RD024, RD188",93.0%,"$22,083","$12,426","-$1,099"
7537,09622-27035951302,5.85,"$29,916",0%,"RD074, RD075, RD113, RD024, RD045",93.1%,"$23,031","$13,203","-$1,287"
7538,09622-27035951100,17.23,"$22,013",0%,"RD173, RD077, RD188, RD101, RD131",93.2%,"$20,117","$11,324","-$1,380"
7539,09622-27035951400,0.11,"$32,856",0%,"RD118, RD010, RD046, RD049, RD198",86.1%,"$24,551","$15,049","-$1,209"
7540,09622-27035951200,0.41,"$44,992",0%,"RD118, RD198, RD010, RD046, RD096",87.0%,"$27,906","$17,442","-$1,363"
7541,09622-27035951000,0.12,"$31,444",0%,"RD198, RD096, RD118, RD010, RD040",67.7%,"$25,706","$15,180","-$1,236"
7542,09622-27035950800,0.12,"$31,444",0%,"RD198, RD096, RD118, RD010, RD040",67.7%,"$25,706","$15,180","-$1,236"
7543,57682-,4.35,"$23,238",1%,"RD144, RD181, RD027, RD044, RD055",90.5%,"$19,079","$9,666","-$1,013"
7544,02386-18095011800,0.63,"$29,898",2%,"RD111, RD174, RD049, RD062, RD058",93.5%,"$21,194","$12,126",-$835
7545,02386-18035002302,0.29,"$30,776",-1%,"RD113, RD029, RD186, RD175, RD167",93.7%,"$21,801","$13,026","-$1,197"
7546,02386-18095002000,49.64,"$24,740",2%,"RD017, RD085, RD077, RD101, RD031",93.2%,"$19,228","$10,975","-$1,567"
7547,02386-18095000300,152.47,"$16,432",2%,"RD162, RD156, RD047, RD139, RD080",88.1%,"$17,385","$8,955","-$1,694"
7548,02386-18095001600,3.53,"$38,016",2%,"RD001, RD091, RD127, RD113, RD155",93.7%,"$18,192","$9,593","-$1,506"
7549,02386-18095011000,0.38,"$33,866",2%,"RD149, RD148, RD175, RD115, RD029",93.6%,"$28,176","$16,660","-$1,382"
7550,02386-18095001700,26.24,"$27,451",2%,"RD101, RD025, RD064, RD155, RD077",93.7%,"$20,160","$10,351","-$1,668"
7551,02386-18095011400,0.01,"$28,762",2%,"RD048, RD186, RD029, RD175, RD174",92.2%,"$24,780","$14,522","-$1,183"
7552,02386-18095000500,90.45,"$16,513",2%,"RD077, RD131, RD156, RD139, RD085",88.8%,"$15,874","$7,662","-$1,861"
7553,02386-18095012000,225.46,"$17,227",2%,"RD139, RD051, RD157, RD156, RD172",90.6%,"$15,824","$7,714","-$1,860"
7554,02386-18095010800,0.32,"$25,993",2%,"RD029, RD187, RD113, RD175, RD049",94.1%,"$28,835","$17,814","-$1,378"
7555,02386-18095001100,112.17,"$17,025",2%,"RD122, RD018, RD162, RD158, RD130",86.3%,"$15,202","$7,615","-$1,485"
7556,02386-18095001500,0.24,"$28,475",2%,"RD030, RD101, RD129, RD146, RD154",93.5%,"$21,384","$11,840","-$1,635"
7557,02386-18095001900,127.01,"$29,427",2%,"RD077, RD103, RD041, RD172, RD017",90.3%,"$21,986","$11,664","-$1,693"
7558,02386-18095011700,10.3,"$36,448",2%,"RD111, RD099, RD058, RD062, RD010",92.7%,"$22,721","$13,038",-$990
7559,02386-18095011502,1.06,"$33,183",2%,"RD111, RD062, RD049, RD186, RD187",93.1%,"$19,008","$10,365",-$818
7560,02386-18095011501,0.93,"$32,059",2%,"RD149, RD113, RD175, RD111, RD058",93.9%,"$24,124","$13,985",-$949
7561,02386-18095010500,7.55,"$24,629",2%,"RD127, RD077, RD101, RD085, RD017",92.5%,"$16,490","$8,803","-$1,322"
7562,02386-18095001200,88.43,"$24,088",2%,"RD025, RD077, RD047, RD172, RD155",94.1%,"$19,348","$10,928","-$1,551"
7563,02386-18095001000,78.07,"$17,152",2%,"RD080, RD156, RD187, RD065, RD179",88.1%,"$17,344","$9,446","-$1,406"
7564,02386-18095001400,30.8,"$25,177",2%,"RD025, RD077, RD017, RD188, RD031",93.6%,"$21,227","$12,355","-$1,398"
7565,02386-18095010600,7.55,"$24,629",2%,"RD127, RD077, RD085, RD101, RD017",92.5%,"$16,490","$8,803","-$1,322"
7566,02386-18095001800,19.36,"$20,573",2%,"RD188, RD031, RD131, RD189, RD084",93.3%,"$16,706","$9,373","-$1,259"
7567,02386-18095011600,2.67,"$3,741",2%,"RD072, RD181, RD054, RD050, RD105",50.5%,"$18,909","$10,124","-$1,413"
7568,02386-18095010700,0.73,"$28,950",2%,"RD129, RD029, RD005, RD101, RD030",92.4%,"$20,584","$11,200","-$1,306"
7569,02386-18095011100,0.6,"$32,076",2%,"RD005, RD045, RD024, RD175, RD020",93.7%,"$23,346","$13,152","-$1,562"
7570,02386-18095011300,9.9,"$23,065",2%,"RD077, RD017, RD131, RD030, RD127",93.9%,"$17,690","$9,777","-$1,498"
7571,02386-18095001300,12.26,"$26,323",2%,"RD025, RD155, RD188, RD102, RD100",89.1%,"$21,199","$12,639","-$1,427"
7572,02386-18095011200,1.23,"$31,298",2%,"RD129, RD037, RD029, RD005, RD113",93.2%,"$22,033","$12,260","-$1,645"
7573,83386-,6.04,"$28,720",0%,"RD022, RD152, RD184, RD115, RD002",90.4%,"$17,757","$9,615",-$887
7574,33409-,1.58,"$21,997",-0%,"RD064, RD017, RD113, RD101, RD091",92.8%,"$23,542","$14,086","-$1,356"
7575,21394-47035970701,3.68,"$28,999",1%,"RD118, RD167, RD064, RD049, RD129",90.4%,"$20,687","$11,792","-$1,378"
7576,21394-47035970502,13.99,"$18,978",1%,"RD030, RD138, RD130, RD098, RD162",92.0%,"$23,450","$13,433","-$1,954"
7577,21394-47035970400,7.69,"$21,135",1%,"RD144, RD076, RD179, RD128, RD075",92.8%,"$20,055","$10,860","-$1,547"
7578,21394-47035970200,0.36,"$26,992",1%,"RD049, RD024, RD045, RD101, RD113",92.8%,"$20,452","$12,117","-$1,050"
7579,21394-47035970602,2.17,"$25,350",1%,"RD064, RD049, RD113, RD129, RD101",92.6%,"$14,528","$7,408","-$1,005"
7580,21394-47035970501,4.34,"$23,440",1%,"RD129, RD106, RD104, RD030, RD189",92.2%,"$18,868","$10,082","-$1,613"
7581,21394-47035970601,4.97,"$28,444",1%,"RD113, RD005, RD188, RD110, RD045",94.3%,"$18,666","$10,158","-$1,076"
7582,21394-47035970702,0.47,"$24,376",1%,"RD049, RD163, RD187, RD191, RD140",92.0%,"$16,917","$9,940","-$1,233"
7583,39970-,11.67,"$26,325",-2%,"RD025, RD017, RD001, RD011, RD065",93.7%,"$17,264","$8,972","-$1,253"
7584,66943-,9.6,"$28,167",3%,"RD189, RD010, RD167, RD031, RD029",90.1%,"$27,105","$16,641","-$1,508"
7585,81631-48181001200,95.46,"$29,211",3%,"RD047, RD100, RD102, RD155, RD067",93.1%,"$22,081","$13,137","-$1,476"
7586,81631-48181000400,13.37,"$21,170",3%,"RD030, RD102, RD100, RD064, RD101",95.1%,"$22,226","$12,645","-$1,724"
7587,81631-48181001400,11.98,"$16,309",3%,"RD188, RD122, RD100, RD102, RD154",86.8%,"$23,224","$14,075","-$1,665"
7588,81631-48181000902,8.98,"$33,736",3%,"RD041, RD155, RD183, RD182, RD031",92.2%,"$25,402","$15,059","-$1,492"
7589,81631-48181001500,18.04,"$17,187",3%,"RD077, RD031, RD127, RD064, RD030",94.7%,"$17,365","$9,473","-$1,374"
7590,81631-48181000501,21.26,"$23,480",3%,"RD034, RD033, RD179, RD025, RD102",91.9%,"$23,133","$13,496","-$2,025"
7591,81631-48181001300,93.92,"$23,110",3%,"RD031, RD093, RD130, RD139, RD172",92.1%,"$21,081","$11,859","-$1,611"
7592,81631-48181000901,1.92,"$30,878",3%,"RD113, RD030, RD091, RD178, RD017",91.3%,"$24,223","$14,257","-$1,589"
7593,81631-48181000101,0.17,"$30,842",3%,"RD167, RD019, RD029, RD115, RD048",92.1%,"$38,839","$24,714","-$1,562"
7594,81631-48181000700,65.93,"$23,110",3%,"RD077, RD127, RD030, RD047, RD041",93.9%,"$23,059","$13,529","-$1,996"
7595,81631-48181000800,8.35,"$32,390",3%,"RD111, RD113, RD031, RD175, RD010",93.0%,"$23,735","$13,994","-$1,207"
7596,81631-48181001101,0.12,"$33,051",3%,"RD187, RD190, RD113, RD106, RD104",92.7%,"$17,718","$10,379","-$1,228"
7597,81631-48181000200,2.27,"$19,892",3%,"RD077, RD041, RD101, RD127, RD064",93.3%,"$16,643","$8,766","-$1,474"
7598,81631-48181001700,26.5,"$22,885",3%,"RD031, RD030, RD029, RD182, RD183",92.2%,"$24,194","$14,237","-$1,702"
7599,81631-48181001801,0.12,"$29,648",3%,"RD188, RD005, RD029, RD030, RD148",92.0%,"$24,225","$13,542","-$1,742"
7600,81631-48181002000,106.78,"$14,455",3%,"RD161, RD139, RD157, RD156, RD189",87.3%,"$13,672","$6,073","-$1,660"
7601,81631-48181000600,1.42,"$30,019",3%,"RD167, RD029, RD189, RD019, RD048",92.2%,"$26,579","$15,393","-$1,850"
7602,81631-48181000302,0.18,"$34,631",3%,"RD037, RD006, RD118, RD167, RD129",90.2%,"$27,556","$15,852","-$1,617"
7603,83899-17167000504,86.95,"$30,632",-1%,"RD068, RD059, RD070, RD069, RD067",94.1%,"$19,961","$10,681","-$1,356"
7604,83899-17167002100,0.3,"$57,325",-1%,"RD091, RD036, RD092, RD155, RD001",92.4%,"$23,122","$13,610","-$1,190"
7605,83899-17167002000,20.46,"$59,829",-1%,"RD053, RD092, RD091, RD058, RD036",92.6%,"$18,989","$10,551",-$858
7606,83899-17167001001,27.71,"$53,021",-1%,"RD036, RD155, RD091, RD017, RD047",94.0%,"$18,577","$10,692",-$905
7607,83899-17167000201,25.68,"$33,275",-1%,"RD038, RD155, RD070, RD067, RD069",93.0%,"$17,694","$9,338","-$1,155"
7608,83899-17167002400,76.14,"$17,159",-1%,"RD088, RD157, RD034, RD033, RD025",90.3%,"$15,532","$7,594","-$1,969"
7609,83899-17167003802,1.98,"$32,211",-1%,"RD091, RD104, RD106, RD002, RD113",93.3%,"$17,480","$10,026","-$1,077"
7610,83899-17167003300,0.04,"$32,710",-1%,"RD091, RD113, RD155, RD011, RD101",93.7%,"$18,947","$10,004","-$1,092"
7611,83899-17167002900,40.88,"$33,976",-1%,"RD038, RD155, RD113, RD091, RD025",92.6%,"$18,289","$9,928",-$908
7612,83899-17167003901,0.4,"$45,642",-1%,"RD008, RD135, RD126, RD005, RD006",93.3%,"$19,726","$11,082","-$1,236"
7613,83899-17167003602,5.38,"$47,360",-1%,"RD113, RD053, RD058, RD036, RD169",91.3%,"$19,052","$11,151",-$821
7614,83899-17167001600,132.01,"$14,343",-1%,"RD162, RD108, RD136, RD066, RD052",91.2%,"$14,925","$7,036","-$1,949"
7615,83899-17167000501,25.33,"$36,233",-1%,"RD001, RD036, RD065, RD127, RD002",93.3%,"$15,935","$8,571","-$1,041"
7616,83899-17167003801,0.12,"$24,846",-1%,"RD129, RD002, RD064, RD132, RD061",91.1%,"$17,207","$8,984","-$1,328"
7617,83899-17167000600,60.25,"$23,432",-1%,"RD098, RD106, RD104, RD164, RD123",92.4%,"$18,382","$9,109","-$1,521"
7618,83899-17167000202,79.79,"$29,102",-1%,"RD123, RD109, RD130, RD098, RD172",93.4%,"$18,692","$10,338","-$1,567"
7619,83899-17167000300,56.5,"$21,436",-1%,"RD130, RD157, RD179, RD136, RD103",90.1%,"$19,027","$9,568","-$1,952"
7620,83899-17167001004,216.79,"$36,739",-1%,"RD114, RD047, RD052, RD088, RD108",90.9%,"$14,947","$8,056","-$1,650"
7621,83899-17167003100,9.2,"$26,622",-1%,"RD122, RD151, RD056, RD055, RD113",94.7%,"$24,280","$13,306","-$1,125"
7622,83899-17167002700,11.07,"$28,737",-1%,"RD001, RD106, RD104, RD091, RD036",93.2%,"$18,856","$10,531","-$1,259"
7623,83899-17167003000,9.2,"$26,622",-1%,"RD122, RD151, RD056, RD055, RD113",94.7%,"$24,280","$13,306","-$1,125"
7624,83899-17167003700,0.12,"$44,538",-1%,"RD005, RD008, RD002, RD092, RD053",93.9%,"$19,205","$10,515","-$1,126"
7625,83899-17167003202,0.6,"$35,736",-1%,"RD113, RD091, RD058, RD036, RD017",94.1%,"$20,497","$11,992",-$900
7626,83899-17167003604,19.85,"$57,366",-1%,"RD053, RD155, RD012, RD092, RD036",93.2%,"$19,436","$11,057","-$1,024"
7627,83899-17167000503,314.49,"$24,743",-1%,"RD066, RD108, RD068, RD051, RD052",89.9%,"$16,039","$8,758","-$1,501"
7628,83899-17167003902,0.47,"$45,320",-1%,"RD008, RD005, RD020, RD083, RD002",93.7%,"$19,062","$9,890","-$1,348"
7629,83899-17167000700,10.38,"$22,730",-1%,"RD025, RD103, RD098, RD001, RD091",92.4%,"$22,572","$12,843","-$1,583"
7630,83899-17167003601,0.08,"$43,792",-1%,"RD148, RD020, RD083, RD053, RD186",92.1%,"$20,160","$10,659","-$1,228"
7631,83899-17167003203,0.57,"$43,509",-1%,"RD008, RD126, RD135, RD006, RD005",94.1%,"$20,417","$11,272","-$1,256"
7632,83899-17167003603,0.98,"$64,989",-1%,"RD053, RD186, RD036, RD174, RD168",90.9%,"$20,949","$12,082",-$946
7633,83899-17167000100,9.7,"$28,260",-1%,"RD098, RD129, RD179, RD152, RD064",90.3%,"$18,916","$9,783","-$1,467"
7634,83899-17167003201,4.06,"$42,583",-1%,"RD053, RD083, RD155, RD058, RD092",92.5%,"$21,254","$12,170",-$951
7635,83899-17167002500,48.16,"$26,225",-1%,"RD038, RD025, RD016, RD015, RD155",94.0%,"$21,612","$11,862","-$1,195"
7636,83899-17167002802,47.99,"$18,742",-1%,"RD130, RD088, RD114, RD112, RD131",91.4%,"$13,817","$7,098","-$1,270"
7637,83899-17167000400,126.4,"$26,129",-1%,"RD088, RD047, RD123, RD109, RD064",90.5%,"$17,082","$9,004","-$1,311"
7638,98182-12101032200,0.84,"$31,652",3%,"RD046, RD122, RD063, RD055, RD151",82.5%,"$24,324","$13,307","-$1,107"
7639,98182-12101032108,7.3,"$28,358",3%,"RD048, RD184, RD117, RD119, RD148",86.8%,"$32,960","$20,602","-$1,671"
7640,98182-12101032105,3.75,"$36,113",3%,"RD178, RD003, RD004, RD019, RD116",89.5%,"$31,886","$19,641","-$1,315"
7641,98182-12101032103,5.01,"$29,354",3%,"RD048, RD174, RD046, RD057, RD178",89.8%,"$22,763","$12,718","-$1,414"
7642,98182-12101033013,78.77,"$21,699",3%,"RD128, RD163, RD096, RD077, RD118",84.8%,"$24,499","$13,878","-$1,580"
7643,98182-12101033011,10.02,"$24,822",3%,"RD096, RD198, RD118, RD049, RD163",75.9%,"$25,112","$15,241","-$1,558"
7644,98182-12101032903,21.89,"$25,658",3%,"RD118, RD198, RD049, RD096, RD164",78.6%,"$25,390","$14,871","-$1,343"
7645,98182-12101032803,11.31,"$26,307",3%,"RD029, RD189, RD167, RD191, RD133",88.1%,"$21,521","$12,219","-$1,431"
7646,98182-12101032801,1.68,"$31,329",3%,"RD037, RD167, RD006, RD005, RD129",88.4%,"$26,865","$16,505","-$1,580"
7647,98182-12101032500,6.27,"$20,317",3%,"RD074, RD029, RD041, RD187, RD049",92.2%,"$21,389","$12,772","-$1,511"
7648,98182-12101032602,22.95,"$21,595",3%,"RD048, RD189, RD101, RD131, RD082",90.1%,"$20,625","$11,726","-$1,789"
7649,98182-12101032902,38.52,"$29,763",3%,"RD096, RD198, RD118, RD049, RD040",77.3%,"$25,152","$15,018","-$1,218"
7650,98182-12101033005,22.36,"$24,129",3%,"RD118, RD198, RD049, RD064, RD163",85.0%,"$33,359","$21,154","-$1,488"
7651,98182-12101033006,31.23,"$25,983",3%,"RD118, RD046, RD117, RD119, RD049",85.9%,"$31,483","$19,806","-$1,250"
7652,98182-12101033014,4.66,"$26,939",3%,"RD198, RD096, RD118, RD049, RD163",68.2%,"$25,152","$15,018","-$1,218"
7653,98182-12101033102,1.89,"$22,451",3%,"RD198, RD096, RD118, RD049, RD163",78.5%,"$25,452","$14,700","-$1,219"
7654,98182-12101032804,26.9,"$22,215",3%,"RD118, RD096, RD198, RD163, RD064",86.7%,"$26,420","$15,805","-$1,812"
7655,98182-12101032300,1.36,"$35,186",3%,"RD178, RD186, RD063, RD048, RD057",92.5%,"$23,480","$13,756","-$1,344"
7656,98182-12101032401,3.75,"$27,674",3%,"RD048, RD049, RD187, RD010, RD167",87.4%,"$22,914","$13,102","-$1,591"
7657,98182-12101033101,0.82,"$31,119",3%,"RD118, RD198, RD096, RD049, RD167",74.9%,"$35,677","$23,304","-$1,412"
7658,98182-12101032402,1.16,"$17,529",3%,"RD187, RD140, RD128, RD049, RD190",89.2%,"$21,518","$12,290","-$1,869"
7659,98182-12101032700,2.37,"$20,712",3%,"RD049, RD163, RD167, RD189, RD191",86.7%,"$25,062","$15,721","-$1,134"
7660,98182-12101033010,58.71,"$21,945",3%,"RD039, RD040, RD163, RD118, RD128",82.4%,"$26,069","$14,972","-$1,408"
7661,98182-12101033008,41.77,"$24,682",3%,"RD167, RD189, RD085, RD118, RD064",84.6%,"$23,176","$13,391","-$1,350"
7662,98182-12101032601,88.83,"$17,144",3%,"RD033, RD034, RD124, RD139, RD082",90.7%,"$14,908","$6,745","-$1,951"
7663,98182-12101033009,75.04,"$21,252",3%,"RD128, RD139, RD163, RD131, RD047",87.2%,"$16,466","$8,391","-$1,794"
7664,98182-12101032802,4.89,"$26,000",3%,"RD049, RD190, RD031, RD140, RD163",89.8%,"$19,584","$11,499","-$1,315"
7665,98182-12101032904,6.45,"$19,647",3%,"RD118, RD134, RD129, RD167, RD049",77.3%,"$28,032","$15,316","-$1,910"
7666,98182-12101032901,7.88,"$27,187",3%,"RD029, RD189, RD188, RD077, RD030",90.0%,"$27,042","$16,709","-$1,887"
7667,75907-,0.04,"$31,465",-1%,"RD022, RD008, RD002, RD037, RD135",82.7%,"$17,812","$8,826","-$1,393"
7668,01090-26025003400,6.96,"$16,991",-0%,"RD107, RD122, RD018, RD151, RD055",85.5%,"$19,269","$10,321","-$1,077"
7669,01090-26025003500,27.19,"$18,276",-0%,"RD122, RD015, RD016, RD067, RD070",87.3%,"$25,890","$14,910","-$1,618"
7670,01090-26025003600,24.06,"$15,949",-0%,"RD085, RD101, RD082, RD162, RD130",88.4%,"$17,341","$9,384","-$1,239"
7671,01090-26075006401,0.09,"$27,578",-1%,"RD115, RD113, RD154, RD146, RD188",92.1%,"$20,404","$11,866",-$828
7672,01090-26025003200,11.42,"$18,600",-0%,"RD130, RD100, RD102, RD179, RD098",93.0%,"$17,854","$9,170","-$1,671"
7673,01090-26025003300,11.42,"$18,600",-0%,"RD130, RD179, RD098, RD102, RD100",92.4%,"$17,854","$9,170","-$1,671"
7674,01090-26075006500,0.12,"$32,919",-1%,"RD002, RD005, RD091, RD092, RD020",93.9%,"$16,916","$8,900","-$1,095"
7675,05707-26025001400,30.84,"$21,503",-0%,"RD025, RD130, RD102, RD100, RD146",92.8%,"$18,978","$11,149","-$1,167"
7676,05707-26025001600,76.69,"$36,399",-0%,"RD091, RD155, RD058, RD047, RD113",91.9%,"$22,760","$13,306","-$1,180"
7677,05707-26025001000,43.09,"$17,241",-0%,"RD130, RD102, RD100, RD098, RD157",91.8%,"$19,553","$10,379","-$2,065"
7678,05707-26025001800,67.93,"$31,459",-0%,"RD130, RD093, RD038, RD069, RD067",93.2%,"$19,659","$10,581",-$958
7679,05707-26025001700,56.03,"$35,126",-0%,"RD091, RD092, RD155, RD001, RD113",94.9%,"$16,163","$8,659",-$969
7680,05707-26025002000,15.04,"$29,017",-0%,"RD106, RD104, RD113, RD017, RD132",93.4%,"$16,903","$9,532",-$863
7681,05707-26025001500,9.28,"$42,774",-0%,"RD037, RD005, RD083, RD092, RD020",90.9%,"$17,719","$9,788","-$1,279"
7682,05707-26025002700,1.56,"$36,539",-0%,"RD002, RD129, RD152, RD022, RD005",92.7%,"$17,508","$9,333","-$1,147"
7683,05707-26077002601,0.26,"$40,062",0%,"RD006, RD129, RD008, RD152, RD126",86.5%,"$22,219","$12,518","-$1,251"
7684,05707-26025001200,28.68,"$22,670",-0%,"RD064, RD106, RD104, RD132, RD098",92.8%,"$15,669","$8,208","-$1,098"
7685,05707-26025002100,59.31,"$19,786",-0%,"RD128, RD109, RD123, RD189, RD082",91.1%,"$17,274","$8,875","-$1,521"
7686,05707-26025002400,4.99,"$26,426",-0%,"RD049, RD163, RD081, RD111, RD186",92.5%,"$17,197","$10,068","-$1,082"
7687,05707-26025002300,5.89,"$31,581",-0%,"RD071, RD027, RD044, RD111, RD065",91.9%,"$17,934","$10,173","-$1,468"
7688,05707-26025002500,4.04,"$28,519",-0%,"RD154, RD146, RD115, RD113, RD064",93.2%,"$18,950","$10,023",-$987
7689,05707-26025000500,284.13,"$13,415",-0%,"RD051, RD066, RD108, RD088, RD052",91.3%,"$15,769","$8,232","-$1,527"
7690,05707-26025000700,65.01,"$15,764",-0%,"RD112, RD088, RD098, RD085, RD047",89.7%,"$17,541","$9,294","-$1,677"
7691,05707-26025000600,126.13,"$14,263",-0%,"RD108, RD088, RD139, RD066, RD162",90.8%,"$12,434","$5,032","-$1,676"
7692,05707-26025000800,61.05,"$22,722",-0%,"RD088, RD077, RD047, RD123, RD109",91.8%,"$16,898","$9,211","-$1,464"
7693,05707-26025002600,4.06,"$20,245",-0%,"RD112, RD093, RD054, RD050, RD131",88.3%,"$14,407","$7,148",-$947
7694,05707-26025001100,58.98,"$21,343",-0%,"RD098, RD112, RD088, RD106, RD104",93.1%,"$14,205","$6,837","-$1,538"
7695,05707-26025000900,38.86,"$30,468",-0%,"RD155, RD025, RD093, RD091, RD038",93.7%,"$19,187","$10,377","-$1,121"
7696,05707-26025002200,0.83,"$31,057",-0%,"RD120, RD186, RD168, RD048, RD174",91.7%,"$27,716","$16,341","-$1,211"
7697,05707-26025000300,181.44,"$14,095",-0%,"RD066, RD157, RD108, RD139, RD088",91.9%,"$14,523","$6,795","-$1,797"
7698,05707-26025001900,8.23,"$34,225",-0%,"RD002, RD037, RD005, RD152, RD120",89.7%,"$23,466","$13,196","-$1,634"
7699,05707-26077006701,0.72,"$25,770",0%,"RD106, RD104, RD113, RD186, RD148",92.7%,"$25,018","$14,868","-$1,053"
7700,05707-26025004100,159.99,"$17,862",-0%,"RD108, RD139, RD066, RD157, RD130",92.5%,"$15,691","$7,709","-$1,535"
7701,29440-37051003312,158.29,"$25,279",1%,"RD047, RD172, RD001, RD025, RD007",92.0%,"$22,836","$12,865","-$1,747"
7702,29440-37051003403,67.67,"$16,019",1%,"RD087, RD093, RD032, RD130, RD155",71.9%,"$22,144","$12,930","-$1,381"
7703,29440-37085071202,30.33,"$21,171",0%,"RD187, RD049, RD163, RD081, RD140",92.8%,"$16,203","$8,978","-$1,415"
7704,29440-37051002401,52.02,"$13,294",1%,"RD139, RD128, RD173, RD179, RD112",88.4%,"$14,146","$5,899","-$1,988"
7705,29440-37051003406,16.17,"$26,941",1%,"RD134, RD087, RD032, RD126, RD135",47.3%,"$20,155","$10,759","-$1,386"
7706,29440-37051002503,69.76,"$29,498",1%,"RD025, RD070, RD067, RD069, RD172",93.1%,"$22,841","$12,984","-$1,386"
7707,29440-37051003313,85.02,"$26,306",1%,"RD007, RD017, RD084, RD011, RD155",92.2%,"$29,659","$17,447","-$1,624"
7708,29440-37051001200,150.77,"$16,648",1%,"RD156, RD157, RD139, RD088, RD161",91.7%,"$11,636","$4,235","-$1,619"
7709,29440-37051001603,25.87,"$17,763",1%,"RD025, RD139, RD157, RD084, RD179",92.5%,"$18,958","$9,371","-$1,662"
7710,29440-37051002501,59.99,"$28,040",1%,"RD025, RD155, RD016, RD015, RD017",94.3%,"$24,187","$13,317","-$1,607"
7711,29440-37051003103,30.46,"$22,882",1%,"RD025, RD155, RD097, RD113, RD001",93.3%,"$23,536","$13,060","-$1,455"
7712,29440-37051000500,47.68,"$14,918",1%,"RD139, RD131, RD161, RD173, RD077",91.4%,"$14,863","$6,515","-$1,890"
7713,29440-37051000200,26.77,"$16,644",1%,"RD125, RD192, RD139, RD103, RD157",88.6%,"$20,834","$10,541","-$2,075"
7714,29440-37051003201,7.43,"$31,921",1%,"RD006, RD004, RD003, RD133, RD149",93.8%,"$21,652","$12,309","-$1,345"
7715,29440-37051001604,26.9,"$24,611",1%,"RD144, RD077, RD017, RD127, RD082",93.0%,"$19,325","$11,154","-$1,296"
7716,29440-37051003102,14.14,"$32,258",1%,"RD133, RD063, RD174, RD045, RD024",92.9%,"$19,706","$10,565",-$935
7717,29440-37093970102,14.74,"$24,088",1%,"RD063, RD187, RD113, RD133, RD084",91.8%,"$18,015","$10,157",-$917
7718,29440-37093970101,12.81,"$20,396",1%,"RD188, RD011, RD133, RD184, RD084",93.1%,"$24,076","$13,618","-$1,339"
7719,29440-37093970103,9.07,"$25,587",1%,"RD187, RD017, RD127, RD133, RD189",93.7%,"$21,633","$13,021","-$1,247"
7720,29440-37051002502,35.22,"$23,185",1%,"RD018, RD122, RD182, RD183, RD025",89.1%,"$19,111","$10,620","-$1,443"
7721,29440-37051003305,137.58,"$25,034",1%,"RD114, RD139, RD131, RD141, RD159",90.6%,"$14,751","$7,624","-$1,651"
7722,29440-37051003401,18.22,"$16,513",1%,"RD093, RD183, RD182, RD077, RD138",83.5%,"$19,780","$11,061","-$1,201"
