,zoneid,crimes per sq. mile,per capita income,pop. change,most similar RD stores,RD match index,similar store revenue,similar store noi,similar store bad debt
47,31087-18003010811,39.43,"$26,066",2%,"RD113, RD025, RD064, RD031, RD155",93.0%,"$18,788","$10,286","-$1,172"
48,15481-54039001100,34.38,"$30,151",-3%,"RD114, RD023, RD182, RD183, RD106",89.7%,"$19,181","$10,700","-$1,246"
49,16264-17089854400,20.13,"$23,639",-1%,"RD007, RD155, RD011, RD017, RD093",100.0%,"$26,984","$15,703","-$1,645"
50,57466-55079000900,100.63,"$22,180",0%,"RD158, RD093, RD025, RD067, RD069",100.0%,"$19,941","$10,850","-$1,220"
51,50392-05119002002,110.26,"$13,517",1%,"RD157, RD161, RD130, RD156, RD139",100.0%,"$15,096","$6,492","-$1,898"
52,53848-20161000900,0.36,"$39,134",1%,"RD153, RD061, RD185, RD060, RD101",100.0%,"$26,247","$14,854","-$1,563"
53,69697-42003490003,2.65,"$37,694",-0%,"RD149, RD058, RD115, RD169, RD091",100.0%,"$21,380","$11,952",-$744
54,05680-22033003201,28.9,"$19,139",0%,"RD154, RD146, RD084, RD113, RD152",100.0%,"$18,373","$9,692","-$1,137"
55,57007-48329010200,83.16,"$19,509",7%,"RD111, RD141, RD159, RD139, RD034",88.4%,"$17,996","$9,673","-$1,723"
56,58600-01101005407,44.69,"$37,216",-0%,"RD155, RD017, RD113, RD011, RD016",90.4%,"$26,299","$14,600","-$1,395"
57,83993-47147080301,5.39,"$21,357",3%,"RD030, RD100, RD102, RD101, RD017",100.0%,"$22,992","$13,423","-$1,600"
58,45640-47001020100,19.37,"$26,962",2%,"RD144, RD181, RD050, RD054, RD131",91.9%,"$21,514","$12,142","-$1,259"
59,41212-18097330700,123.96,"$18,827",2%,"RD073, RD128, RD164, RD077, RD189",100.0%,"$19,138","$9,902","-$1,650"
60,69454-05069000900,165.9,"$16,775",-3%,"RD066, RD088, RD108, RD136, RD157",100.0%,"$17,423","$8,689","-$1,782"
61,69454-05069001501,140.27,"$17,206",-3%,"RD088, RD114, RD066, RD130, RD108",100.0%,"$13,183","$6,557","-$1,265"
62,58600-01101001900,149.77,"$34,037",-0%,"RD068, RD069, RD070, RD067, RD059",100.0%,"$20,769","$11,416","-$1,482"
63,58600-01101005402,103.98,"$22,203",-0%,"RD069, RD067, RD070, RD068, RD172",100.0%,"$18,039","$9,221","-$1,082"
64,01279-22079012800,86.21,"$14,559",-1%,"RD161, RD157, RD156, RD146, RD154",100.0%,"$11,878","$4,839","-$1,407"
65,01279-22079010500,3.45,"$16,574",-1%,"RD138, RD163, RD161, RD112, RD104",90.9%,"$10,187","$3,969","-$1,218"
66,23824-26099240900,32.27,"$31,599",-0%,"RD001, RD091, RD149, RD113, RD058",93.4%,"$19,523","$10,830",-$941
67,84547-13031110401,19.07,"$19,272",1%,"RD130, RD034, RD033, RD139, RD144",90.5%,"$17,301","$9,039","-$1,848"
68,35920-28045030100,18.14,"$26,835",1%,"RD118, RD198, RD155, RD064, RD185",100.0%,"$22,372","$12,654","-$1,023"
69,53794-22103040201,0.04,"$31,300",0%,"RD019, RD121, RD116, RD186, RD063",92.0%,"$34,640","$22,114","-$1,159"
70,53794-22105954600,1.02,"$28,731",2%,"RD116, RD121, RD019, RD184, RD049",89.4%,"$36,767","$23,721","-$1,378"
71,16264-18089041001,89.32,"$27,881",-1%,"RD087, RD093, RD038, RD130, RD007",100.0%,"$19,072","$10,620",-$934
72,82468-22103041204,3.74,"$30,053",0%,"RD120, RD187, RD147, RD170, RD168",100.0%,"$18,787","$10,542",-$967
73,36514-22105954502,14.17,"$27,573",2%,"RD117, RD119, RD100, RD102, RD166",100.0%,"$27,626","$17,723","-$1,629"
74,16264-17197883504,4.28,"$53,175",-1%,"RD013, RD022, RD003, RD004, RD006",100.0%,"$18,995","$11,002","-$1,014"
75,58357-26115832400,6.6,"$36,490",1%,"RD071, RD186, RD111, RD057, RD178",100.0%,"$18,955","$10,689",-$955
76,53794-22103040305,0.12,"$37,253",0%,"RD121, RD116, RD004, RD003, RD115",100.0%,"$34,159","$21,656","-$1,044"
77,69697-42003563800,1.06,"$53,688",-0%,"RD169, RD062, RD149, RD174, RD091",100.0%,"$15,857","$8,325",-$518
78,47719-26045020402,5.86,"$45,931",0%,"RD092, RD091, RD155, RD076, RD062",100.0%,"$18,517","$9,864",-$990
79,47719-26065005402,81.0,"$26,039",0%,"RD093, RD067, RD070, RD069, RD038",100.0%,"$20,388","$10,793","-$1,334"
80,53794-22103040701,1.13,"$25,829",0%,"RD115, RD149, RD186, RD184, RD113",100.0%,"$36,075","$22,187",-$879
81,54955-,5.44,"$35,723",-0%,"RD091, RD092, RD155, RD113, RD001",100.0%,"$17,466","$10,032",-$870
82,16264-17197883602,0.72,"$43,587",-1%,"RD022, RD013, RD149, RD006, RD002",100.0%,"$22,106","$13,349",-$984
83,16264-17197881112,6.28,"$44,480",-1%,"RD014, RD003, RD004, RD086, RD149",100.0%,"$28,759","$18,126",-$938
84,97129-17111870904,13.58,"$33,636",-1%,"RD078, RD023, RD091, RD007, RD016",100.0%,"$26,979","$15,708","-$1,245"
85,50392-05119003707,34.65,"$35,601",1%,"RD155, RD113, RD011, RD017, RD091",100.0%,"$22,982","$13,107","-$1,431"
86,26750-21093000901,0.3,"$30,735",2%,"RD030, RD005, RD155, RD188, RD091",92.8%,"$18,046","$10,346","-$1,198"
87,35920-28047003000,8.52,"$22,247",1%,"RD198, RD118, RD010, RD188, RD161",100.0%,"$23,879","$13,951","-$1,200"
88,01927-48375012200,140.95,"$11,584",0%,"RD088, RD067, RD070, RD069, RD066",92.6%,"$16,560","$8,567","-$1,407"
89,83548-45083021100,48.18,"$24,180",4%,"RD100, RD102, RD025, RD188, RD031",90.9%,"$20,080","$11,610","-$1,736"
90,37675-37049961302,7.24,"$23,577",-0%,"RD102, RD100, RD155, RD025, RD093",93.7%,"$20,283","$11,369","-$1,268"
91,61840-37049960900,115.54,"$29,948",-0%,"RD162, RD139, RD158, RD130, RD144",90.2%,"$17,555","$9,510","-$1,347"
92,59194-37031970903,25.25,"$43,363",1%,"RD096, RD198, RD118, RD072, RD040",10.1%,"$24,077","$14,186","-$1,206"
93,89110-01125011600,143.27,"$18,824",1%,"RD096, RD072, RD162, RD118, RD179",87.0%,"$20,977","$11,953","-$1,715"
94,17317-47125100500,69.2,"$24,618",3%,"RD182, RD183, RD144, RD093, RD158",91.6%,"$22,598","$12,627","-$1,483"
95,17317-47125101804,1.8,"$35,784",3%,"RD057, RD063, RD186, RD178, RD071",100.0%,"$18,860","$10,128",-$908
96,17317-47125101101,136.19,"$20,568",3%,"RD033, RD034, RD139, RD124, RD047",100.0%,"$18,124","$9,588","-$1,759"
97,26750-21093000600,30.97,"$21,465",2%,"RD100, RD102, RD101, RD030, RD155",100.0%,"$18,338","$10,703","-$1,396"
98,68482-12033003611,32.78,"$35,898",3%,"RD111, RD062, RD071, RD058, RD080",100.0%,"$23,030","$13,485","-$1,225"
99,68482-12033002100,86.62,"$18,454",3%,"RD139, RD157, RD034, RD033, RD028",100.0%,"$16,996","$8,325","-$2,369"
100,23824-26163520800,109.49,"$91,225",-0%,"RD072, RD169, RD054, RD050, RD185",79.4%,"$21,188","$11,767","-$1,234"
101,09271-25017320102,0.93,"$71,565",1%,"RD086, RD013, RD014, RD020, RD121",84.5%,"$30,045","$18,956","-$1,063"
102,00496-,2.76,"$37,795",3%,"RD062, RD174, RD169, RD111, RD092",100.0%,"$20,331","$11,192",-$775
103,34786-08123001412,24.69,"$38,685",6%,"RD005, RD063, RD012, RD178, RD057",87.5%,"$18,211","$9,986","-$1,067"
104,89110-01125010405,6.31,"$50,229",1%,"RD071, RD053, RD063, RD010, RD178",85.8%,"$18,361","$10,325",-$919
105,22960-17037001400,6.55,"$33,031",-1%,"RD016, RD015, RD017, RD011, RD038",100.0%,"$24,012","$13,124","-$1,382"
106,73261-37183053609,1.58,"$34,186",4%,"RD180, RD193, RD182, RD183, RD185",90.5%,"$22,018","$12,802","-$1,000"
107,87868-39095009102,9.66,"$41,716",-0%,"RD105, RD076, RD065, RD127, RD168",92.6%,"$19,515","$10,738","-$1,120"
108,87868-39095009000,2.77,"$48,902",-0%,"RD053, RD174, RD063, RD058, RD178",92.2%,"$17,592","$9,559",-$824
109,87868-39095008800,66.76,"$35,840",-0%,"RD177, RD176, RD059, RD075, RD038",100.0%,"$23,819","$12,507","-$1,794"
110,03358-37021002503,16.92,"$23,197",1%,"RD134, RD152, RD129, RD135, RD126",86.4%,"$19,998","$9,690","-$1,721"
111,08407-17113001403,29.64,"$27,084",-1%,"RD103, RD001, RD017, RD025, RD101",94.1%,"$20,955","$11,206","-$1,754"
112,00970-36001002000,189.09,"$21,928",-0%,"RD158, RD028, RD025, RD093, RD114",87.2%,"$16,602","$8,058","-$1,471"
113,43777-30029000800,3.52,"$38,627",2%,"RD020, RD005, RD053, RD148, RD174",95.2%,"$19,170","$10,455",-$982
114,43777-30029000602,0.86,"$31,881",2%,"RD118, RD083, RD020, RD046, RD006",88.2%,"$26,002","$15,601","-$1,448"
115,43777-30029001100,104.3,"$23,450",2%,"RD177, RD176, RD047, RD075, RD172",92.6%,"$23,686","$13,356","-$1,645"
116,43912-29095015500,5.83,"$17,946",1%,"RD090, RD152, RD157, RD179, RD129",100.0%,"$17,397","$7,194","-$1,952"
117,08407-17113002101,14.65,"$35,495",-1%,"RD164, RD064, RD190, RD077, RD127",100.0%,"$19,055","$9,693","-$1,457"
118,08407-17113001105,81.86,"$37,701",-1%,"RD032, RD038, RD093, RD015, RD016",100.0%,"$23,331","$13,171","-$1,208"
119,22960-17037001600,0.52,"$33,136",-1%,"RD019, RD004, RD003, RD017, RD011",100.0%,"$24,256","$14,076","-$1,317"
120,16318-06007001000,241.85,"$24,896",-7%,"RD018, RD162, RD066, RD088, RD130",82.5%,"$14,435","$7,674","-$1,398"
121,73153-55101001802,0.5,"$44,014",-0%,"RD020, RD005, RD063, RD053, RD174",100.0%,"$20,377","$11,236","-$1,064"
122,51755-18043070901,109.14,"$33,874",0%,"RD047, RD155, RD017, RD059, RD101",100.0%,"$21,000","$11,154","-$1,636"
123,68509-17143003401,7.85,"$52,663",-1%,"RD012, RD005, RD053, RD008, RD020",100.0%,"$23,640","$13,024","-$1,273"
124,75718-17201003710,8.04,"$31,980",-1%,"RD001, RD036, RD017, RD104, RD106",100.0%,"$18,895","$10,185","-$1,051"
125,42211-28049010801,30.51,"$10,815",-1%,"RD157, RD124, RD130, RD136, RD179",88.2%,"$13,687","$6,163","-$1,819"
126,40780-01089002600,159.3,"$40,240",4%,"RD142, RD176, RD177, RD047, RD172",100.0%,"$25,455","$14,287","-$1,482"
127,05680-22063040500,54.9,"$27,152",0%,"RD160, RD165, RD166, RD155, RD101",100.0%,"$17,377","$9,008","-$1,192"
128,05680-22033003202,13.05,"$27,902",0%,"RD152, RD129, RD146, RD154, RD002",100.0%,"$14,413","$6,438","-$1,071"
129,76474-17097860806,17.93,"$33,578",-1%,"RD039, RD040, RD010, RD011, RD058",100.0%,"$27,587","$15,556","-$1,419"
130,12862-39059978000,0.52,"$29,491",-0%,"RD167, RD129, RD019, RD029, RD189",100.0%,"$20,001","$10,896","-$1,373"
131,77743-29021001800,93.64,"$24,246",-3%,"RD109, RD123, RD075, RD065, RD101",100.0%,"$16,914","$8,626","-$1,409"
132,46234-13285960502,2.82,"$21,216",1%,"RD131, RD104, RD106, RD031, RD077",100.0%,"$20,869","$11,885","-$1,430"
133,16264-17031828701,7.25,"$25,529",-1%,"RD094, RD021, RD019, RD023, RD078",100.0%,"$26,756","$13,424","-$1,475"
134,54091-39139002102,1.66,"$34,575",-0%,"RD175, RD145, RD089, RD024, RD045",100.0%,"$19,617","$10,749",-$960
135,58330-22073005500,85.13,"$21,504",-1%,"RD162, RD130, RD144, RD109, RD123",100.0%,"$17,642","$9,160","-$1,567"
136,28333-18163003600,247.55,"$17,121",0%,"RD051, RD130, RD067, RD069, RD070",100.0%,"$16,189","$8,328","-$1,359"
137,43912-29095013307,120.21,"$21,889",1%,"RD172, RD067, RD070, RD069, RD130",100.0%,"$21,042","$10,938","-$1,631"
138,36514-22105953900,8.73,"$25,633",2%,"RD119, RD117, RD031, RD049, RD112",90.4%,"$27,510","$17,131","-$1,610"
139,38755-17119403601,1.74,"$34,352",-0%,"RD024, RD045, RD178, RD174, RD175",100.0%,"$23,324","$13,486","-$1,097"
140,92593-19013002601,14.42,"$33,010",-0%,"RD151, RD055, RD056, RD185, RD190",100.0%,"$21,070","$11,093",-$990
141,01765-17119404100,0.31,"$26,535",-0%,"RD129, RD167, RD002, RD152, RD064",100.0%,"$16,358","$7,700","-$1,300"
142,27766-42049011202,4.2,"$39,233",-1%,"RD168, RD190, RD044, RD027, RD174",100.0%,"$19,972","$10,956","-$1,105"
143,13591-17077010800,5.63,"$25,222",-1%,"RD173, RD025, RD077, RD075, RD098",100.0%,"$19,873","$10,752","-$1,562"
144,22285-01003010800,7.26,"$41,104",5%,"RD095, RD041, RD029, RD062, RD031",100.0%,"$23,955","$13,799","-$1,136"
145,29872-26049011213,14.81,"$30,880",-0%,"RD099, RD089, RD145, RD175, RD058",100.0%,"$18,305","$10,134","-$1,004"
146,19801-05045030403,10.92,"$23,030",1%,"RD181, RD131, RD050, RD054, RD144",100.0%,"$21,024","$11,485","-$1,318"
147,50392-05119004303,5.36,"$33,100",1%,"RD193, RD180, RD079, RD182, RD183",100.0%,"$22,188","$12,484","-$1,024"
148,51755-21185030302,6.38,"$29,529",0%,"RD074, RD026, RD010, RD101, RD045",100.0%,"$21,370","$12,417","-$1,022"
149,77770-17119403534,0.71,"$45,779",-0%,"RD174, RD186, RD058, RD024, RD045",100.0%,"$20,416","$11,226",-$660
150,41185-42063960700,10.42,"$37,814",-1%,"RD185, RD182, RD183, RD155, RD005",100.0%,"$24,890","$13,813","-$1,219"
151,47719-26065005100,29.09,"$21,325",0%,"RD103, RD098, RD017, RD077, RD127",100.0%,"$19,980","$10,848","-$1,785"
152,50392-05119003800,3.53,"$21,940",1%,"RD179, RD098, RD187, RD173, RD188",100.0%,"$14,236","$6,858","-$1,525"
153,57466-55133203000,5.59,"$27,278",0%,"RD182, RD183, RD038, RD017, RD031",100.0%,"$24,903","$14,258","-$1,194"
154,05680-22063040804,5.64,"$28,579",0%,"RD184, RD003, RD004, RD029, RD011",100.0%,"$24,472","$14,370","-$1,264"
155,75718-17201003805,5.57,"$33,769",-1%,"RD002, RD005, RD059, RD113, RD083",100.0%,"$14,620","$7,182","-$1,032"
156,50392-05119004107,170.39,"$13,905",1%,"RD156, RD157, RD161, RD172, RD162",100.0%,"$15,660","$7,185","-$1,528"
157,02062-19015020100,0.07,"$38,635",-1%,"RD186, RD174, RD063, RD178, RD058",100.0%,"$20,385","$10,941",-$976
158,19801-05045031102,0.8,"$25,811",1%,"RD187, RD049, RD082, RD113, RD140",100.0%,"$17,639","$9,607","-$1,083"
159,59275-54061010800,3.84,"$30,713",1%,"RD190, RD168, RD163, RD104, RD106",100.0%,"$17,576","$9,357","-$1,112"
160,19801-05045031006,12.69,"$26,395",1%,"RD188, RD155, RD113, RD045, RD024",100.0%,"$17,974","$10,245",-$966
161,46045-22055002103,17.56,"$22,958",-0%,"RD189, RD133, RD106, RD104, RD131",100.0%,"$17,568","$9,046","-$1,331"
162,22285-01003010300,0.2,"$32,898",5%,"RD191, RD029, RD095, RD049, RD167",100.0%,"$20,916","$12,589","-$1,408"
163,17668-39133600402,2.61,"$35,199",-0%,"RD178, RD063, RD024, RD045, RD186",100.0%,"$20,057","$11,094",-$929
164,42211-28049002700,34.88,"$25,264",-1%,"RD125, RD192, RD162, RD179, RD136",100.0%,"$16,406","$7,964","-$1,783"
165,58330-22073005301,21.14,"$23,305",-1%,"RD163, RD190, RD049, RD113, RD064",100.0%,"$14,218","$7,684",-$972
166,40753-21019030900,7.35,"$22,314",-2%,"RD132, RD104, RD106, RD113, RD098",100.0%,"$18,010","$9,887","-$1,454"
167,16264-17089853004,52.72,"$29,400",-1%,"RD038, RD025, RD011, RD017, RD016",100.0%,"$27,482","$15,418","-$1,484"
168,51755-18019050701,0.38,"$36,442",0%,"RD046, RD045, RD024, RD083, RD174",100.0%,"$18,471","$10,053",-$798
